ncaa_id,team,player_id,name,jersey,height_ft,height_in,position_clean,year_clean,redshirt,hometown_clean,state_clean,country_clean
590,Sacred Heart,11586,Wil'Lisha Jackson,5,5,8,GUARD/FORWARD,Graduate Student,0,"RAHWAY, NJ",NJ,USA
590,Sacred Heart,11587,Afia Owusu-Mensah,10,5,8,GUARD,Sophomore,0,"GLENN DALE, MD",MD,USA
590,Sacred Heart,11588,Maya Klein,12,5,6,GUARD,Graduate Student,0,"STAMFORD, CONN",CT,USA
590,Sacred Heart,11589,Carly Stroemel,13,6,2,FORWARD/CENTER,Senior,0,"VOORHEES, NJ",NJ,USA
590,Sacred Heart,11592,Olivia Tucker,30,5,8,GUARD,Senior,0,"NEWARK, DEL",DE,USA
590,Sacred Heart,11593,Savannah Marshall,33,5,8,GUARD,Senior,0,"WESTBROOK, CONN",CT,USA
590,Sacred Heart,11594,Kelsey Wood,34,6,1,FORWARD/CENTER,Junior,0,"WYNANTSKILL, NY",NY,USA
369,Loyola-Maryland,11617,Taleah Dixon,4,5,10,GUARD,Graduate Student,0,"BALTIMORE, MD",MD,USA
369,Loyola-Maryland,11618,Emma Glezen,11,6,1,FORWARD,Senior,0,"WANTAGH, NY",NY,USA
369,Loyola-Maryland,11619,Devyne Newman,5,5,8,GUARD,Graduate Student,0,"HERNDON, VA",VA,USA
369,Loyola-Maryland,11620,Bri Rozzi,22,5,7,GUARD,Senior,0,"HIGHLAND, NY",NY,USA
369,Loyola-Maryland,11621,Laura Salmerón,15,5,8,GUARD,Sophomore,0,"SANT ANDREU DE LLAVANERES, SPAIN",,SPAIN
369,Loyola-Maryland,11622,Caramina Tañedo,13,5,10,GUARD,Junior,0,"LAUREL, MD",MD,USA
369,Loyola-Maryland,11623,Ava Therien,35,5,10,FORWARD,Senior,0,"MARLTON, NJ",NJ,USA
369,Loyola-Maryland,11624,Lex Therien,45,6,1,FORWARD,Sophomore,0,"MARLTON, NJ",NJ,USA
587,Rutgers,11702,Chyna Cornwell,54,6,3,FORWARD,Junior,0,"CONOVER, NC",NC,USA
587,Rutgers,11704,Erica Lafayette,20,6,0,GUARD/FORWARD,Junior,0,"BATON ROUGE, LA",LA,USA
587,Rutgers,11705,Awa Sidibe,11,5,11,GUARD,Senior,0,"BAMAKO, MALI",,MALI
649,South Dakota State,11718,Paiton Burckhard,33,6,0,FORWARD,Senior,0,"ABERDEEN, SD",SD,USA
649,South Dakota State,11719,Mesa Byom,24,6,2,FORWARD,Sophomore,0,"MELROSE, WIS",WI,USA
649,South Dakota State,11720,Paige Meyer,21,5,6,GUARD,Sophomore,0,"ALBANY, MINN",MN,USA
649,South Dakota State,11721,Tori Nelson,20,6,1,FORWARD,Junior,0,"MENDOTA HEIGHTS, MINN",MN,USA
